INFO 2022-02-02 16:37:31,705 autoreload 7480 1468 Watching for file changes with StatReloader
DEBUG 2022-02-02 16:37:31,706 autoreload 7480 1468 Waiting for apps ready_event.
DEBUG 2022-02-02 16:37:31,752 autoreload 7480 1468 Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2022-02-02 16:37:31,772 autoreload 7480 1468 Watching dir E:\PythonPractice\b6-env\lib\site-packages\debug_toolbar\templates with glob **/*.
DEBUG 2022-02-02 16:37:31,773 autoreload 7480 1468 Watching dir E:\PythonPractice\Django_work\library_system\bookmanagement\templates with glob **/*.
DEBUG 2022-02-02 16:37:31,773 autoreload 7480 1468 Watching dir E:\PythonPractice\Django_work\library_system\locale with glob **/*.mo.
DEBUG 2022-02-02 16:37:31,773 autoreload 7480 1468 Watching dir E:\PythonPractice\Django_work\library_system\bookmanagement\locale with glob **/*.mo.
DEBUG 2022-02-02 16:37:31,773 autoreload 7480 1468 Watching dir E:\PythonPractice\b6-env\lib\site-packages\debug_toolbar\locale with glob **/*.mo.
DEBUG 2022-02-02 16:37:31,853 utils 7480 7616 (0.000) 
                SELECT VERSION(),
                       @@sql_mode,
                       @@default_storage_engine,
                       @@sql_auto_is_null,
                       @@lower_case_table_names,
                       CONVERT_TZ('2001-01-01 01:00:00', 'UTC', 'UTC') IS NOT NULL
            ; args=None; alias=default
DEBUG 2022-02-02 16:37:31,853 utils 7480 7616 (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None; alias=default
DEBUG 2022-02-02 16:37:31,855 utils 7480 7616 (0.000) SHOW FULL TABLES; args=None; alias=default
DEBUG 2022-02-02 16:37:31,861 utils 7480 7616 (0.000) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=(); alias=default
DEBUG 2022-02-02 16:37:31,958 autoreload 7480 1468 File E:\PythonPractice\b6-env\Lib\site-packages\debug_toolbar\views.py first seen with mtime 1643793415.910027
DEBUG 2022-02-02 16:37:31,959 autoreload 7480 1468 File C:\Users\admin\AppData\Local\Programs\Python\Python39\Lib\collections\abc.py first seen with mtime 1624876618.0
DEBUG 2022-02-02 16:37:31,959 autoreload 7480 1468 File E:\PythonPractice\b6-env\Lib\site-packages\django\contrib\auth\checks.py first seen with mtime 1642612119.6782153
DEBUG 2022-02-02 16:37:31,959 autoreload 7480 1468 File E:\PythonPractice\b6-env\Lib\site-packages\django\utils\http.py first seen with mtime 1642612125.2397087
DEBUG 2022-02-02 16:37:31,959 autoreload 7480 1468 File E:\PythonPractice\b6-env\Lib\site-packages\django\conf\locale\__init__.py first seen with mtime 1642612117.1782103
DEBUG 2022-02-02 16:37:31,959 autoreload 7480 1468 File E:\PythonPractice\b6-env\Lib\site-packages\django\urls\__init__.py first seen with mtime 1642612125.1997483
DEBUG 2022-02-02 16:37:31,960 autoreload 7480 1468 File E:\PythonPractice\b6-env\Lib\site-packages\debug_toolbar\panels\settings.py first seen with mtime 1643793416.0069904
